No,Area Cell,Area Reality,Scoring,Lavatory Table,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
1,16,4.84,9.93,2,3.23,18,0.0494,3.95,17.11
2,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
3,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
4,16,4.84,9.93,2,3.23,18,0.0494,3.95,17.11
5,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
6,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
7,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
8,16,4.84,9.93,2,3.23,18,0.0494,3.95,17.11
9,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
10,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
11,17,5.14,9.87,1,2.50,18,0.0525,4.20,16.57
12,16,4.84,9.93,2,3.23,18,0.0494,3.95,17.11
13,17,5.14,9.87,1,2.50,18,0.0525,4.20,16.57
14,18,5.45,9.79,2,3.23,18,0.0556,4.44,17.47
15,17,5.14,9.87,1,2.50,18,0.0525,4.20,16.57
16,17,5.14,9.87,2,3.23,18,0.0525,4.20,17.30
17,17,5.14,9.87,2,3.23,18,0.0525,4.20,17.30
18,17,5.14,9.87,1,2.50,18,0.0525,4.20,16.57
19,17,5.14,9.87,2,3.23,18,0.0525,4.20,17.30
20,17,5.14,9.87,2,3.23,18,0.0525,4.20,17.30
